image_name,xmin,xmax,ymin,ymax,class_id
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_0_augmented.jpg,208,412,193,430,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_1_augmented.jpg,44,456,432,855,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_2_augmented.jpg,126,369,213,463,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_3_augmented.jpg,728,1107,151,597,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_4_augmented.jpg,191,630,169,615,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_5_augmented.jpg,22,452,160,605,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_6_augmented.jpg,275,590,204,526,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_7_augmented.jpg,374,761,63,468,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_8_augmented.jpg,15,365,17,371,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_9_augmented.jpg,681,911,18,290,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_10_augmented.jpg,182,595,368,812,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_11_augmented.jpg,185,504,29,340,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_12_augmented.jpg,82,445,344,771,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_13_augmented.jpg,153,461,240,547,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_14_augmented.jpg,14,328,331,704,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_15_augmented.jpg,102,454,50,457,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_16_augmented.jpg,142,472,60,451,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_17_augmented.jpg,23,509,418,872,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_18_augmented.jpg,174,464,136,455,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_5_19_augmented.jpg,100,330,188,460,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_13_0_augmented.jpg,139,403,106,357,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_13_1_augmented.jpg,587,965,124,584,11
front_view/cookies_05_04_19/augmented_data/cookies_05_04_19_13_2_augmented.jpg,163,527,305,684,11
